Density,API,Viscosity,Light_Ends,Mid_Range,Heavy_Ends,Log_Viscosity
0.839,35.5,5,0.255623937,66.59255014,33.15182592,1.609437912
0.8386,37.5,4.8,0.421298898,68.236957,31.3417441,1.568615918
0.8394,37.07,5.2,0.538945022,70.12543072,29.33562426,1.648658626
0.8351,36.3,4.96,0.742459567,71.87507818,27.38246225,1.601405741
0.852,34.58,6.4,1.006053052,70.55289144,28.44105551,1.85629799
0.8303,38.9,3.95,0.326648214,68.5241269,31.14922488,1.373715579
0.8254,39.9,3.34,0.051792382,73.88250079,26.06570683,1.205970807
0.8384,35.7,4.95,0.328182397,70.28712751,29.3846901,1.599387577
0.8869,28.05,11,0.266712545,69.58625777,30.14702968,2.397895273
0.8557,32.36,7.05,1.153384639,74.81619191,24.03042345,1.953027617
0.854,32.67,6.7,1.03612097,74.75922434,24.20465469,1.902107526
0.9032,23.86,14.8,0.338866548,60.14981852,39.51131493,2.694627181
0.832,38.6,4.05,0.634826917,80.02026049,19.34491259,1.398716881
0.846,35.77,5.5,0.048205032,62.79256496,37.15923001,1.704748092
0.8904,26.06,10.3,0.088589344,77.30363505,22.60777561,2.332143895
0.837,37.55,4.2,1.047542963,76.68569816,22.26675888,1.435084525
0.842,36.56,5.4,0.281562234,78.71031781,21.00811995,1.686398954
0.836,37.75,4,0.551688599,79.03200403,20.41630737,1.386294361
0.849,35.19,6.6,0.13119741,57.6995599,42.16924269,1.887069649
0.852,36.56,5.4,0.152024725,56.42610253,43.42187274,1.686398954
0.844,36.16,5.8,0.52168618,73.27690286,26.20141096,1.757857918
0.856,33.84,8.1,0,66.30559313,33.69440687,2.091864062
0.8136,42.42,3.1,0.009778995,48.94021932,51.05000168,1.131402111
0.834,38.16,4.3,1.179897455,75.57445084,23.24565171,1.458615023
0.846,35.76,5.5,0.696841743,79.92754573,19.37561252,1.704748092
0.8192,41.23,3.4,1.549375433,78.66572982,19.78489475,1.223775432
0.8076,43.71,2.7,1.317054857,76.67765925,22.00528589,0.993251773
0.8306,38.86,4.2,1.181729215,72.52661918,26.2916516,1.435084525
0.8789,29.49,11.1,0.587981538,58.43286714,40.97915133,2.406945108
0.839,35.5,5,1.264657785,65.15421885,33.58112336,1.609437912
0.838,37.36,4.8,0.418195237,67.39420951,32.18759525,1.568615918
0.841,36.75,5.3,0.415945067,59.10257128,40.48148365,1.667706821
0.856,33.84,8.3,0,39.8233378,61.78845057,2.116255515
0.839,35,5,0.280143955,62.87230038,36.84755567,1.609437912
0.832,38.57,4,0.620355683,65.33511986,34.04452446,1.386294361
0.831,38.78,3.9,0.313462811,64.24517789,35.4413593,1.360976553
0.833,38.37,4.1,0.857150534,63.42432844,35.71852102,1.410986974
0.832,38.57,4,0.507799206,64.60667544,34.88552535,1.386294361
0.843,36.35,5.6,0.408468104,57.86807144,41.72346046,1.722766598
0.842,36.56,5.5,0.773541141,89.1921045,10.03435436,1.704748092
0.854,34.23,7.8,0.082783545,56.61167141,43.30554504,2.054123734
